,data_index,title,cluster
0,0,Paul H. Wilson,0
1,1,Rudy Giuliani Falsely Claims Hillary Clinton Lied About Being In NYC On 9/11,0
2,2,9 things you can't do on a plane if you are Muslim,3
3,3,Shipment containing lithium ion batteries not screened before loading on MH370,0
4,4,U.S. Defense Physicist Speaks about ‘Alien’ Structures on the moon,0
5,5,Plane crash kills 163 after pilot forgets to turn off chemtrails when landing,0
6,6,Jenner comfortable in her own skin,0
7,7,The Best Way to Spend Your Frequent-Flier Miles,8
8,8,Chemtrails: The Consequences of Toxic Metals and Chemical Aerosols on Human Health,0
9,9,Why Is the Basic Marble Notebook Made by So Many Brands Still So Popular?,0
10,10,"Remembering the Alabamians who died on Sept. 11, 2001",0
11,11,"Southwest jets, a Boeing 727, A380s and more",5
12,12,431 The Seattle Aerospace Scene,0
13,13,"American, United, KLM, Hawaiian airlines and more",0
14,14,"An airline 'boneyard,' Delta MD-88s, United 787s + more",1
15,15,"Las Vegas flights, fighter jets, Boeing 747s, more",0
16,16,"Woah, an Antonov! And a 'Beluga!' Check out these 30 aviation pics",0
17,17,Has Samuel L Jackson proved Donald Trump lied in ‘golf cheat’ row?,0
18,18,Obama Foundation names 17 leaders to 'inclusion council' on diversity issues,0
19,19,A 16-Hour Dreamliner Flight With No Jet-Lag? Believe It!,2
20,20,"Samuel Jackson: Donald Trump Cheats, Charged Me Member Dues",0
21,21,What No One Tells You About The Maury Island UFO Incident,0
22,22,Which logos should be brought back from the graveyard?,0
23,23,Passenger denied boarding over travelling with only a Nexus card,0
24,24,Inside corporate America's stand against transgender discrimination,0
25,25,"Halifax airport hosted 8,000 passengers and 40 planes on 9-11",4
26,26,8 Safety Travel Tips,0
27,27,Someone Appears To Have Stolen This Woman's Photos And Is Using Them To Troll People,0
28,28,Managing Channels of Distribution with Strategic Partnerships,0
29,29,United Airlines Flight 93,0
30,30,Why I Still Travel Despite My Flying Fear,0
31,31,"Thousands of Students Get School Supplies, Vaccinations, More at Mayor’s Back 2 School Fest Presented by Shell",0
32,32,You Can Now Book Korean Air SkyTeam Partners Online!,3
33,33,Want a Free Transit Hotel from Turkish Airlines Free? Read This First,0
34,34,"Fare Alert American SFO-Hong Kong $419, AA LAX-HKG $440 Aug-Nov – Loyalty Traveler",0
35,35,Alan Mingo Jr. Struts from KINKY BOOTS to Stars in the Alley!,0
36,36,Sam Adams Brewer Seeks to Trademark ‘Brexit’,0
37,37,"Meet Gabor Lukacs, the child math prodigy turned professional airline troublemaker",0
38,38,American joins fare war $600s SFO to many European airports – Loyalty Traveler,0
39,39,L.A. Airport Police Dubbed 'K-9 Angels' for Chipping In to Pay Dog's Medical Bills After Freeway Accident,4
40,40,Partnership aids pilots seeking airline career,0
41,41,The Frequent Traveler’s Guide to Sea-Tac Airport,4
42,42,"Mitsubishi Outlander hacked, raising car security stakes",0
43,43,Samuel L. Jackson vs. Donald Trump,0
44,44,Are Singaporeans' travel plans and insurance going to be affected by the Zika virus?,0
45,45,Major Incident at United Airlines,0
46,46,Ex-Pat Pilots In China Are Making Bank,0
47,47,"Hot! $76+ Round-Trip to Chicago From 4 Cities, $356 Non-Stop to Paris",0
48,48,The 2X everywhere Alaska Mileage Plan card?,0
49,49,22 Great Quotes From Airline CEOs,0
50,50,"After 53 years, Boeing’s first 727 jet makes its last trip … to Seattle’s Museum of Flight",5
51,51,2 Flights & Luxurious Hotel From 1 Card Bonus,8
52,52,"Vancouver, B.C., will test out biofuel made from sewage",0
53,53,a $23 billion trade that’s destroying our planet,0
54,54,"Economy in tatters, Nigeria loses title as Africa’s largest economy",0
55,55,"WOW: American President Scott Kirby Resigns, Becomes President Of United",0
56,56,"Coming Soon: New Avianca Card With Possible 60,000 Mile Bonus (Enough for a Round-Trip Flight to Europe)",8
57,57,Alaska Air buys Virgin America to expand West Coast flights,0
58,58,Here's What American Business Leaders Are Doing to Help Protect You from the Zika Virus,0
59,59,"Sweet Spot: Flying Blue Miles to Hawaii Using Chase, Citi, AMEX, or Starwood Points!",8
60,60,United paid me $400 to stay in London – Loyalty Traveler,0
61,61,"How to Get Big Travel on United Airlines & Partners With the Chase Ink Plus 70,000 Point Sign-Up Bonus",8
62,62,Transfer AMEX Membership Rewards Points to Marriott,8
63,63,"Winter storms shutdown airports, delay flights",4
64,64,6 Tips That Will Bring You Huge Savings on Your Favorite Travel Magazines,0
65,65,United gets on TSA's speedy screening lines bandwagon,0
66,66,"Fare Alert United-ANA $420/$470 LAX/NYC open jaw fare Bangkok/Kuala Lumpur, SIN, JKT, MNL – Loyalty Traveler",0
67,67,"Wide Open Business Class Awards To Europe For 36,620 Miles Roundtrip",8
68,68,McCarran logs best June performance since 2007,0
69,69,"- **EXPIRED** Toronto, Canada to Bali, Indonesia for only $713 CAD roundtrip",0
70,70,McCarran notches 2.3 percent rise in August passenger traffic,4
71,71,McCarran passenger count for May best since 2007,0
72,72,Fare Alert United $38-$43 one-way Chicago to LAX and 10 more cities – Loyalty Traveler,0
73,73,The Most Watched Swim Film in History arrives on iTunes,0
74,74,"Using Singapore KrisFlyer miles, and keeping miles alive",8
75,75,"How to Get Big Travel on Southwest With the Chase Ink Plus 70,000 Point Sign-Up Bonus",8
76,76,United Airlines pilot Bruce Wayne Wallis charged with running several brothels in Texas,0
77,77,McCarran continues to post monthly ‘bests’ since 2007,4
78,78,Ends Next Week: Discounted Domestic Delta Award Flights,1
79,79,US & Cuba Commercial Flight Agreement Coming Next Week,0
80,80,"Fare War American Airlines SFO to Switzerland, Germany, Belgium $413 to $472 – Loyalty Traveler",0
81,81,How To Use “Truthful” Copy To Win Over Your Reader (Or How A Politically Incorrect Film About Mental Health Teaches You How To Overcome Objections),0
82,82,How Two 9/11 Survivors Became ‘Blood Brothers’ for Life,0
83,83,Are Lingus Pairs with Avios to Launch Its Rebranded Loyalty Program,0
84,84,United Airlines and Air New Zealand Form Joint Venture Partnership,3
85,85,SAS $597 LAX to Stockholm August dates – Loyalty Traveler,0
86,86,Singapore Airlines adds another nonstop from US,0
87,87,WikiLeaks unearths top Clinton aide's card offers,8
88,88,McCarran passenger totals are best April since 2007,4
89,89,"You Can Save at Least $2,100 on a Family Trip to Disney World",8
90,90,"$1,200 for Coach? How to Beat the New Airfare Rules",0
91,91,Court Says Airline Employee Abused FMLA,0
92,92,How the Marriott-Starwood Timeline Is Changing the Game,0
93,93,United CEO Undergoes Heart Transplant,0
94,94,US Airlines Battle Over Havana,0
95,95,Budget Travelling 101: Playa Del Carmen,0
96,96,Airlines might allow wifi-phone calls on your flight,0
97,97,The Brands That Do The Most And Least Good For The World–Ranked By Consumers,0
98,98,LAX Just Got Better: Airside Connector to International Terminal Opens (Video),0
99,99,Make Room for Me…Even in Private,0
100,100,"United $554 EWR-HKG, Cathay Pacific $526-$554 New York JFK to Hong Kong nonstop Sep-Dec – Loyalty Traveler",0
101,101,Monarch Airlines denies rumours it is about to go bust,0
102,102,Filmmaker Ken Burns on America's National Parks,0
103,103,How to Earn Air Miles As Fast As Possible,0
104,104,Wife’s AAdvantage Elite Fast Track summer 2016 EQM email offer – Loyalty Traveler,0
105,105,"How About a Ramos Gin Fizz at 35,000 Feet?",0
106,106,250 Free Avios Points When You Sign-Up for Aer Lingus' New Frequent Flyer Program,0
107,107,"Planning a Caribbean Vacation With This Card's 80,000-Point Bonus",8
108,108,Meet The Guy Who Solved Uber's Insurance Problem,0
109,109,Routes helps with delivery of first mainland China link to Las Vegas,0
110,110,SFO Museum Exhibits Vintage Flight Attendant Uniforms,0
111,111,Inside the decades-long battle over Toronto’s Billy Bishop airport,4
112,112,17 Women Who Fired Back at Breastfeeding Shamers,0
113,113,WTC South Tower powered down for 36 hours just days before attack,0
114,114,"Routes: Havana, London, Doha, Paris, China, Panama City, Mexico City",0
115,115,"Pence dismisses Trump's past climate change tweets as 'flippant,' 'joking'",0
116,116,The best award price finder. Case study part 2. Other key info,0
117,117,Chicago Teachers Union Makes Tentative Contract Agreement without a Strike,0
118,118,Top Republican calls on Carter to postpone new transgender policy,0
119,119,Cheaper flights to Europe by starting in Europe – Loyalty Traveler,0
120,120,Can biofuels take flight? Alternative fuels for jetliners face political and economic headwinds,0
121,121,From Seaplanes to Space Planes — Boeing Celebrates 100 Years,5
122,122,The secret to enjoying a long-haul flight (in economy class),0
123,123,Top GOP lawmaker calls Obama's Arctic drilling ban 'abuse of power',0
124,124,9/11 Anniversary: 15 Years Of Hurt,0
125,125,"The Fugitive, His Dead Wife, and the 9/11 Conspiracy Theory That Explains Everything",0
126,126,South Carolina's Haley signs abortion ban,0
127,127,Congress should override Obama’s veto of the Justice Against Sponsors of Terrorism Act (JASTA),0
128,128,Islam and Islamism in America in 2015,0
129,129,"These people left us this year. But, oh, what a mark they made",0
130,130,Rise of the Gulf airlines,0
131,131,Trinidad & Tobago Breaks Through Into Top Tier Of Global Services Destinations,0
132,132,The 33 most famous graphic design agencies from around the world,0
133,133,CXC Tour Report – Midwest Mayhem!,0
134,134,"London Walking Tour in 8 to 10 hours from LHR, introduction – Loyalty Traveler",0
135,135,The Dying Art of Skywriting,0
136,136,INTERNATIONAL JAZZ DAY 2016 WORLDWIDE CELEBRATION CULMINATES WITH TELEVISED ALL-STAR GLOBAL CONCERT HOSTED BY PRESIDENT OBAMA AND MICHELLE OBAMA,0
137,137,Did Hillary's Law Firm Help Bring a Terror Bank to America?,0
138,138,A Running List Of Lobbyists On Trump’s Transition Team,0
139,139,The Amazing Value of 5 Free Stopovers & 2 Open Jaws With Cathay Pacific Award Flights!,0
140,140,10 Unsolved Terror Attacks In The United States,0
141,141,10 Little-Known Mysteries From America's Great Depression,0
142,142,Exchange rates makes 2016 great year to visit Norway and Sweden – Loyalty Traveler,0
143,143,Success! Under $600 for Family Flights to Maui AND Europe!,0
144,144,"""A Disappointing Response About Southwest's Racism"" by Katie Matson-Daley",0
145,145,The Ultimate Guide to Travel Hacking: Award Flight Basics,0
146,146,Should a Vocal Trump Supporter Have Been Kicked Off My United Flight?,0
147,147,Asia-Europe cargo alliances appearing around every corner,0
148,148,"""Had I Known Applying for Cards Wouldn't Really Lower My Score, I'd Have Circled the World a Few More Times""",8
149,149,Europe fares from Houston reveal extent of fare sale today – Loyalty Traveler,0
150,150,Add an Atacama adventure to your Chile ski trip,0
151,151,China lets the good times roll for the 'Year of the Monkey',0
152,152,Africa on sale LAX and SFO to Mt Kilimanjaro $847 Star Alliance – Loyalty Traveler,0
153,153,"Airlines start rolling out Havana schedules, fares",0
154,154,"United Airlines Billion MileagePlus Miles Giveaway Sweepstakes August 1 – September 30, 2016",0
155,155,Makin Island Amphibious Ready Group deploys to the Middle East,0
156,156,Ten Travel Innovations That Are Totally Changing the Game,0
157,157,4 Situations Where It May Be More Advantageous to Book One Way Tickets,0
158,158,3 Bad Transfer Partners for Chase Ultimate Rewards,8
159,159,My Oneworld Around The World Ticket Ex-Cairo (16 Segments + 33K Miles),0
160,160,12 most tempting airline meals (slideshow),0
161,161,Do Muslim lives matter in America?!,0
162,162,Mysterious 9/11 Witness Deaths,0
163,163,Robbery In The Skies: #1 Airline Secret Exposed. How To Save Money On Flights,0
164,164,Where in USA/Europe hotel rates are hot and cities not – Loyalty Traveler,0
165,165,Nine things that are totally changing the world of travel,0
166,166,"Business Travelers Should Use Mobile Hotspots at Conferences, Hotels for More Secure Access",0
167,167,How to Find Award Space Using the Aeroplan Website,0
168,168,10 Tips For Traveling To Japan From A First-Timer,0
169,169,The Biggest Challenges Facing Metastatic Breast Cancer Research,0
170,170,AA/UA Fare War NYC to 10 cities under $100 one way – Loyalty Traveler,1
171,171,Roundup: San Jose's flourishing flight options,0
172,172,The Ultimate Guide to United Airlines Upgrade Rules,0
173,173,"AA, DL, UA fare war to Europe still hot from across USA – Loyalty Traveler",0
174,174,Nordic Choice Hotels offer high value for Choice Privileges points – Loyalty Traveler,0
175,175,The Star Alliance business class upgrade guide,0
176,176,Silicon Valley's Nourishing Poisons,0
177,177,Silent Motorcade,0
178,178,Colt Model 1903 Pocket Hammerless Pistol – 10 Fun Facts,0
179,179,Celebrating 45 Years of Marvin Gaye’s ‘What’s Going On’,0
180,180,9/11 in Film,0
181,181,"Routes: New JetBlue transcon + more Mint, Delta, OneJet, United, AA",1
182,182,$350 United tickets to Europe Wednesday (and I paid $691 on Monday) – Loyalty Traveler,0
183,183,"US, Japan to Shift Haneda Slots",0
184,184,SPG & China Eastern “Eastern Explorer Rewards” Partnership,0
185,185,The African neighborhoods that out-hipster Williamsburg,0
186,186,Travel tips you shouldn’t skip if you want to save money and have a good time,0
187,187,How to Get Your Plane Ticket Refunded,0
188,188,Your Brand Is What Social Media Says It Is.,0
189,189,Why Your Comfort Zone Is the Most Dangerous Place to Live,0
190,190,"Routes: SFO, LAX, Chicago, Pittsburgh, Miami, Newark, JFK",2
191,191,Redeeming Airline Miles for Travel on a Different Partner,2
192,192,Traveling Through Denver This Holiday Season? Go Ice Skating!,0
193,193,How You and the Internet Can Damage Your Small Business,0
194,194,"Why Air Travel Can Make You Feel Like Crap, And How to Fix It",2
195,195,"If You’re Interested in Living in Colorado, These Are the 5 Cards You MUST HAVE",8
196,196,Pilot shortage hits US regional airlines,1
197,197,Alaska Air or United $186 LAX-BWI Baltimore – Loyalty Traveler,2
198,198,Airline Fined 2.75 Mil $ For Tarmac Delays & (Mis)Treatment Of Disabled Passengers,2
199,199,Chase United Explorer 50000,8
200,200,How To Fly With Your Dog In-Cabin,7
201,201,"More bigger jets eventually for United, but what now?",2
202,202,"United Airlines Buy MileagePlus Miles Up To 50% Bonus Until November 4, 2016",8
203,203,Foreign Pilots Offered to ‘Live Like a King’ If They Just Sign On with China,0
204,204,Save 25%! Discounted United Airlines Award Flights to Asia,8
205,205,The 7 best EMS movies of all time,0
206,206,United Rehires Flight Attendants Fired For Insubordination,2
