,startdate,enddate,words,topic
0,2018-01-30,2018-02-05,"['peacock', 'support', 'emot', 'unit', 'airlin', 'flight', 'anim', 'woman', 'deni', 'board']",1
1,2018-02-06,2018-02-12,"['airlin', 'passeng', 'bump', 'unit', 'rate', 'lowest', 'support', 'anim', 'emot', 'flight']",1
2,2018-04-17,2018-04-23,"['airlin', 'alaska', 'anim', 'support', 'emot', 'unit', 'airport', 'use', 'way', 'say']",1
3,2018-05-15,2018-05-21,"['support', 'anim', 'airlin', 'emot', 'polici', 'goat', 'american', 'hors', 'aa', 'new']",1
4,2018-06-05,2018-06-11,"['support', 'jetblu', 'polici', 'anim', 'hors', 'new', 'airlin', 'emot', 'make', 'broadway']",1
5,2018-06-05,2018-06-11,"['airlin', 'unit', 'support', 'jetblu', 'anim', 'board', 'restrict', 'join', 'new', 'travel']",1
6,2018-08-07,2018-08-13,"['anim', 'airlin', 'peopl', 'emot', 'airport', 'support', 'plan', 'custom', 'papa', 'expert']",1
7,2018-08-14,2018-08-20,"['airlin', 'support', 'emot', 'anim', 'southwest', 'unit', 'flight', 'allow', 'hors', 'miniatur']",1
8,2019-01-01,2019-01-07,"['unit', 'support', 'airlin', 'anim', 'emot', 'flight', 'ban', 'puppi', 'cat', 'dog']",1
9,2019-01-08,2019-01-14,"['unit', 'airlin', 'support', 'emot', 'polici', 'board', 'seat', 'anim', 'flight', 'famili']",1
10,2018-01-30,2018-02-05,"['unit', 'airlin', 'brand', 'economi', 'way', 'travel', 'class', 'qatar', 'flight', 'new']",2
11,2018-07-10,2018-07-16,"['busi', 'chase', 'ink', 'prefer', 'travel', 'point', 'way', 'bonus', 'brand', 'serco']",2
12,2018-10-02,2018-10-08,"['airlin', 'new', 'travel', 'unit', 'roundtrip', 'economi', 'passeng', 'citi', 'air', 'seat']",2
13,2018-10-09,2018-10-15,"['new', 'travel', '2018', 'support', 'octob', 'program', 'polit', 'profession', 'brand', 'screen']",2
17,2018-01-30,2018-02-05,"['airlin', 'flight', 'unit', 'peacock', 'chicago', 'new', 'zealand', 'air', 'depart', 'tell']",6
18,2018-03-27,2018-04-02,"['new', 'air', 'zealand', 'unit', 'airlin', 'flight', 'chicago', 'servic', 'nonstop', 'make']",6
19,2018-11-27,2018-12-03,"['unit', 'avianca', 'air', 'copa', 'airlin', 'new', 'partnership', 'zealand', 'welcom', 'joint']",6
20,2018-12-18,2018-12-24,"['airlin', 'unit', 'new', 'flight', 'chicago', 'fli', 'nonstop', 'york', 'air', 'offer']",6
39,2018-02-13,2018-02-19,"['engin', 'unit', 'cover', 'airlin', 'land', 'plane', 'emerg', 'apart', 'passeng', 'flight']",21
40,2018-05-22,2018-05-28,"['unit', 'airlin', 'emerg', 'nra', 'ceo', 'passeng', 'land', 'flight', 'make', 'air']",21
41,2019-03-26,2019-04-01,"['emerg', 'land', 'passeng', 'keanu', 'reev', 'make', 'strand', 'flight', 'plane', 'hospit']",21
42,2019-06-18,2019-06-24,"['passeng', 'land', 'plane', 'reev', 'flight', 'trip', 'road', 'make', 'emerg', 'keanu']",21
52,2018-02-20,2018-02-26,"['unit', 'nra', 'airlin', 'delta', 'flight', 'tie', 'compani', 'support', 'cut', 'school']",30
53,2018-02-27,2018-03-05,"['nra', 'delta', 'airlin', 'georgia', 'tie', 'need', 'tax', 'say', 'emir', 'break']",30
54,2018-02-27,2018-03-05,"['nra', 'media', 'staff', 'school', 'antinra', 'compani', 'high', 'member', 'stoneman', 'marjori']",30
55,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",30
56,2018-03-06,2018-03-12,"['airlin', 'unit', 'passeng', 'nra', 'cut', 'tie', '2018', 'houston', 'drag', 'best']",30
57,2018-04-17,2018-04-23,"['tie', 'blast', 'say', 'yeti', 'nra', 'report', 'cut', 'group', 'compani', 'gun']",30
58,2018-02-20,2018-02-26,"['nra', 'delta', 'airlin', 'boycott', 'florida', 'tie', 'cut', 'georgia', 'school', 'shoot']",31
59,2018-02-27,2018-03-05,"['nra', 'delta', 'airlin', 'georgia', 'tie', 'need', 'tax', 'say', 'emir', 'break']",31
60,2018-02-27,2018-03-05,"['florida', 'school', 'shoot', 'gun', 'new', 'half', 'dc', 'code', 'look', 'marathon']",31
61,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",31
62,2018-03-06,2018-03-12,"['airlin', 'unit', 'passeng', 'nra', 'cut', 'tie', '2018', 'houston', 'drag', 'best']",31
63,2018-04-17,2018-04-23,"['tie', 'blast', 'say', 'yeti', 'nra', 'report', 'cut', 'group', 'compani', 'gun']",31
65,2018-02-20,2018-02-26,"['nra', 'tie', 'compani', 'cut', 'unit', 'corpor', 'latest', 'sponsor', 'airlin', 'nation']",33
